"","state","year","e85","total","ratio_e85"
"1","Alabama","2009",16,191,8.37696335078534
"2","Alaska","2009",0,11,0
"3","Arizona","2009",26,143,18.1818181818182
"4","Arkansas","2009",10,63,15.8730158730159
"5","California","2009",45,937,4.8025613660619
"6","Colorado","2009",80,168,47.6190476190476
"7","Connecticut","2009",4,31,12.9032258064516
"8","Delaware","2009",1,7,14.2857142857143
"9","District of Columbia","2009",3,7,42.8571428571429
"10","Florida","2009",30,125,24
"11","Georgia","2009",37,122,30.327868852459
"12","Hawaii","2009",0,12,0
"13","Idaho","2009",5,51,9.80392156862745
"14","Illinois","2009",204,311,65.5948553054662
"15","Indiana","2009",112,169,66.2721893491124
"16","Iowa","2009",124,153,81.0457516339869
"17","Kansas","2009",31,85,36.4705882352941
"18","Kentucky","2009",15,42,35.7142857142857
"19","Louisiana","2009",5,26,19.2307692307692
"20","Maine","2009",0,13,0
"21","Maryland","2009",15,46,32.6086956521739
"22","Massachusetts","2009",2,55,3.63636363636364
"23","Michigan","2009",95,199,47.7386934673367
"24","Minnesota","2009",351,381,92.1259842519685
"25","Mississippi","2009",4,47,8.51063829787234
"26","Missouri","2009",97,182,53.2967032967033
"27","Montana","2009",1,53,1.88679245283019
"28","Nebraska","2009",48,71,67.6056338028169
"29","Nevada","2009",14,68,20.5882352941176
"30","New Hampshire","2009",0,25,0
"31","New Jersey","2009",2,31,6.45161290322581
"32","New Mexico","2009",10,77,12.987012987013
"33","New York","2009",38,177,21.4689265536723
"34","North Carolina","2009",19,227,8.37004405286344
"35","North Dakota","2009",30,59,50.8474576271186
"36","Ohio","2009",63,162,38.8888888888889
"37","Oklahoma","2009",11,123,8.94308943089431
"38","Oregon","2009",8,99,8.08080808080808
"39","Pennsylvania","2009",26,127,20.4724409448819
"40","Rhode Island","2009",0,12,0
"41","South Carolina","2009",87,142,61.2676056338028
"42","South Dakota","2009",78,96,81.25
"43","Tennessee","2009",29,114,25.4385964912281
"44","Texas","2009",41,629,6.51828298887122
"45","Utah","2009",5,92,5.43478260869565
"46","Vermont","2009",0,10,0
"47","Virginia","2009",9,79,11.3924050632911
"48","Washington","2009",15,144,10.4166666666667
"49","West Virginia","2009",3,13,23.0769230769231
"50","Wisconsin","2009",127,191,66.4921465968586
"51","Wyoming","2009",6,51,11.7647058823529
"52","Total","2009",1982,6449,30.7334470460537
"53","Alabama","2010",15,153,9.80392156862745
"54","Alaska","2010",0,11,0
"55","Arizona","2010",32,157,20.3821656050955
"56","Arkansas","2010",13,75,17.3333333333333
"57","California","2010",54,1011,5.34124629080119
"58","Colorado","2010",86,179,48.0446927374302
"59","Connecticut","2010",1,37,2.7027027027027
"60","Delaware","2010",1,8,12.5
"61","District of Columbia","2010",3,8,37.5
"62","Florida","2010",42,154,27.2727272727273
"63","Georgia","2010",41,133,30.8270676691729
"64","Hawaii","2010",1,17,5.88235294117647
"65","Idaho","2010",7,58,12.0689655172414
"66","Illinois","2010",219,341,64.2228739002933
"67","Indiana","2010",138,202,68.3168316831683
"68","Iowa","2010",144,173,83.2369942196532
"69","Kansas","2010",39,84,46.4285714285714
"70","Kentucky","2010",21,67,31.3432835820896
"71","Louisiana","2010",5,29,17.2413793103448
"72","Maine","2010",0,9,0
"73","Maryland","2010",19,57,33.3333333333333
"74","Massachusetts","2010",3,57,5.26315789473684
"75","Michigan","2010",109,221,49.3212669683258
"76","Minnesota","2010",360,396,90.9090909090909
"77","Mississippi","2010",3,50,6
"78","Missouri","2010",103,193,53.3678756476684
"79","Montana","2010",2,64,3.125
"80","Nebraska","2010",58,79,73.4177215189873
"81","Nevada","2010",26,89,29.2134831460674
"82","New Hampshire","2010",0,25,0
"83","New Jersey","2010",4,42,9.52380952380952
"84","New Mexico","2010",11,82,13.4146341463415
"85","New York","2010",75,238,31.5126050420168
"86","North Carolina","2010",20,254,7.8740157480315
"87","North Dakota","2010",55,85,64.7058823529412
"88","Ohio","2010",67,169,39.6449704142012
"89","Oklahoma","2010",13,126,10.3174603174603
"90","Oregon","2010",8,112,7.14285714285714
"91","Pennsylvania","2010",37,140,26.4285714285714
"92","Rhode Island","2010",0,13,0
"93","South Carolina","2010",101,165,61.2121212121212
"94","South Dakota","2010",101,121,83.4710743801653
"95","Tennessee","2010",39,170,22.9411764705882
"96","Texas","2010",48,646,7.43034055727554
"97","Utah","2010",5,109,4.58715596330275
"98","Vermont","2010",0,13,0
"99","Virginia","2010",11,78,14.1025641025641
"100","Washington","2010",15,142,10.5633802816901
"101","West Virginia","2010",3,14,21.4285714285714
"102","Wisconsin","2010",132,203,65.0246305418719
"103","Wyoming","2010",6,52,11.5384615384615
"104","Total","2010",2296,7111,32.2880045000703
"105","Alabama","2011",0,9,0
"106","Alaska","2011",20,148,13.5135135135135
"107","Arizona","2011",20,91,21.978021978022
"108","Arkansas","2011",33,189,17.4603174603175
"109","California","2011",58,2006,2.8913260219342
"110","Colorado","2011",83,213,38.9671361502347
"111","Connecticut","2011",0,75,0
"112","Delaware","2011",1,6,16.6666666666667
"113","District of Columbia","2011",3,58,5.17241379310345
"114","Florida","2011",62,520,11.9230769230769
"115","Georgia","2011",51,194,26.2886597938144
"116","Hawaii","2011",1,73,1.36986301369863
"117","Idaho","2011",167,215,77.6744186046512
"118","Illinois","2011",9,74,12.1621621621622
"119","Indiana","2011",218,491,44.3991853360489
"120","Iowa","2011",153,227,67.4008810572687
"121","Kansas","2011",40,101,39.6039603960396
"122","Kentucky","2011",29,75,38.6666666666667
"123","Louisiana","2011",2,47,4.25531914893617
"124","Maine","2011",4,113,3.53982300884956
"125","Maryland","2011",23,220,10.4545454545455
"126","Massachusetts","2011",0,11,0
"127","Michigan","2011",122,578,21.1072664359862
"128","Minnesota","2011",364,476,76.4705882352941
"129","Mississippi","2011",106,224,47.3214285714286
"130","Missouri","2011",2,51,3.92156862745098
"131","Montana","2011",1,55,1.81818181818182
"132","Nebraska","2011",29,409,7.09046454767726
"133","Nevada","2011",74,97,76.2886597938144
"134","New Hampshire","2011",68,92,73.9130434782609
"135","New Jersey","2011",0,36,0
"136","New Mexico","2011",4,110,3.63636363636364
"137","New York","2011",9,81,11.1111111111111
"138","North Carolina","2011",23,109,21.1009174311927
"139","North Dakota","2011",82,480,17.0833333333333
"140","Ohio","2011",84,223,37.6681614349776
"141","Oklahoma","2011",15,140,10.7142857142857
"142","Oregon","2011",9,392,2.29591836734694
"143","Pennsylvania","2011",35,176,19.8863636363636
"144","Rhode Island","2011",0,18,0
"145","South Carolina","2011",100,246,40.650406504065
"146","South Dakota","2011",102,120,85
"147","Tennessee","2011",44,294,14.9659863945578
"148","Texas","2011",58,992,5.84677419354839
"149","Utah","2011",4,124,3.2258064516129
"150","Vermont","2011",15,185,8.10810810810811
"151","Virginia","2011",0,18,0
"152","Washington","2011",19,571,3.32749562171629
"153","West Virginia","2011",140,267,52.4344569288389
"154","Wisconsin","2011",3,20,15
"155","Wyoming","2011",5,48,10.4166666666667
"156","Total","2011",2494,11788,21.1571089243298
"157","Alabama","2012",0,12,0
"158","Alaska","2012",28,198,14.1414141414141
"159","Arizona","2012",33,122,27.0491803278689
"160","Arkansas","2012",32,682,4.69208211143695
"161","California","2012",71,4261,1.66627552217789
"162","Colorado","2012",84,407,20.6388206388206
"163","Connecticut","2012",1,187,0.53475935828877
"164","Delaware","2012",1,20,5
"165","District of Columbia","2012",3,112,2.67857142857143
"166","Florida","2012",51,1024,4.98046875
"167","Georgia","2012",59,347,17.0028818443804
"168","Hawaii","2012",3,333,0.900900900900901
"169","Idaho","2012",188,289,65.0519031141868
"170","Illinois","2012",9,62,14.5161290322581
"171","Indiana","2012",206,821,25.0913520097442
"172","Iowa","2012",157,527,29.7912713472486
"173","Kansas","2012",32,148,21.6216216216216
"174","Kentucky","2012",35,121,28.9256198347107
"175","Louisiana","2012",4,107,3.73831775700935
"176","Maine","2012",8,469,1.70575692963753
"177","Maryland","2012",22,464,4.74137931034483
"178","Massachusetts","2012",1,36,2.77777777777778
"179","Michigan","2012",129,896,14.3973214285714
"180","Minnesota","2012",360,564,63.8297872340426
"181","Mississippi","2012",110,310,35.4838709677419
"182","Missouri","2012",1,182,0.549450549450549
"183","Montana","2012",3,54,5.55555555555556
"184","Nebraska","2012",30,726,4.13223140495868
"185","Nevada","2012",79,106,74.5283018867924
"186","New Hampshire","2012",77,118,65.2542372881356
"187","New Jersey","2012",0,59,0
"188","New Mexico","2012",5,235,2.12765957446809
"189","New York","2012",14,112,12.5
"190","North Carolina","2012",19,128,14.84375
"191","North Dakota","2012",84,780,10.7692307692308
"192","Ohio","2012",88,355,24.7887323943662
"193","Oklahoma","2012",27,203,13.3004926108374
"194","Oregon","2012",8,855,0.935672514619883
"195","Pennsylvania","2012",32,368,8.69565217391304
"196","Rhode Island","2012",0,55,0
"197","South Carolina","2012",84,370,22.7027027027027
"198","South Dakota","2012",100,128,78.125
"199","Tennessee","2012",43,908,4.73568281938326
"200","Texas","2012",80,1940,4.12371134020619
"201","Utah","2012",4,191,2.09424083769634
"202","Vermont","2012",18,408,4.41176470588235
"203","Virginia","2012",1,37,2.7027027027027
"204","Washington","2012",20,1221,1.63800163800164
"205","West Virginia","2012",126,398,31.6582914572864
"206","Wisconsin","2012",4,52,7.69230769230769
"207","Wyoming","2012",9,53,16.9811320754717
"208","Total","2012",2583,22561,11.4489605957183
"209","Alabama","2013",0,10,0
"210","Alaska","2013",29,225,12.8888888888889
"211","Arizona","2013",30,120,25
"212","Arkansas","2013",31,921,3.36590662323561
"213","California","2013",88,5903,1.49076740640352
"214","Colorado","2013",85,449,18.9309576837416
"215","Connecticut","2013",1,254,0.393700787401575
"216","Delaware","2013",1,27,3.7037037037037
"217","District of Columbia","2013",3,74,4.05405405405405
"218","Florida","2013",54,1165,4.63519313304721
"219","Georgia","2013",61,539,11.317254174397
"220","Hawaii","2013",3,370,0.810810810810811
"221","Idaho","2013",186,305,60.983606557377
"222","Illinois","2013",9,66,13.6363636363636
"223","Indiana","2013",218,899,24.2491657397108
"224","Iowa","2013",169,554,30.5054151624549
"225","Kansas","2013",28,186,15.0537634408602
"226","Kentucky","2013",55,155,35.4838709677419
"227","Louisiana","2013",4,114,3.50877192982456
"228","Maine","2013",8,607,1.31795716639209
"229","Maryland","2013",25,613,4.07830342577488
"230","Massachusetts","2013",1,41,2.4390243902439
"231","Michigan","2013",163,999,16.3163163163163
"232","Minnesota","2013",336,626,53.6741214057508
"233","Mississippi","2013",106,333,31.8318318318318
"234","Missouri","2013",1,172,0.581395348837209
"235","Montana","2013",4,59,6.77966101694915
"236","Nebraska","2013",22,814,2.7027027027027
"237","Nevada","2013",58,84,69.0476190476191
"238","New Hampshire","2013",75,137,54.7445255474453
"239","New Jersey","2013",0,58,0
"240","New Mexico","2013",5,268,1.86567164179104
"241","New York","2013",13,110,11.8181818181818
"242","North Carolina","2013",20,182,10.989010989011
"243","North Dakota","2013",81,995,8.14070351758794
"244","Ohio","2013",97,385,25.1948051948052
"245","Oklahoma","2013",27,307,8.79478827361564
"246","Oregon","2013",8,995,0.804020100502513
"247","Pennsylvania","2013",33,429,7.69230769230769
"248","Rhode Island","2013",1,163,0.613496932515337
"249","South Carolina","2013",82,417,19.6642685851319
"250","South Dakota","2013",87,119,73.109243697479
"251","Tennessee","2013",52,1073,4.84622553588071
"252","Texas","2013",81,2231,3.63065889735545
"253","Utah","2013",3,200,1.5
"254","Vermont","2013",19,480,3.95833333333333
"255","Virginia","2013",1,60,1.66666666666667
"256","Washington","2013",24,1476,1.6260162601626
"257","West Virginia","2013",115,430,26.7441860465116
"258","Wisconsin","2013",4,63,6.34920634920635
"259","Wyoming","2013",9,52,17.3076923076923
"260","Total","2013",2616,27314,9.57750604085817
"261","Alabama","2014",32,259,12.3552123552124
"262","Alaska","2014",0,8,0
"263","Arizona","2014",30,999,3.003003003003
"264","Arkansas","2014",43,155,27.741935483871
"265","California","2014",94,7758,1.21165248775458
"266","Colorado","2014",86,647,13.2921174652241
"267","Connecticut","2014",3,399,0.75187969924812
"268","Delaware","2014",1,37,2.7027027027027
"269","District of Columbia","2014",3,146,2.05479452054794
"270","Florida","2014",62,1446,4.28769017980636
"271","Georgia","2014",52,836,6.2200956937799
"272","Hawaii","2014",3,449,0.66815144766147
"273","Idaho","2014",8,78,10.2564102564103
"274","Illinois","2014",234,1200,19.5
"275","Indiana","2014",188,629,29.8887122416534
"276","Iowa","2014",210,353,59.4900849858357
"277","Kansas","2014",25,263,9.50570342205323
"278","Kentucky","2014",62,225,27.5555555555556
"279","Louisiana","2014",8,136,5.88235294117647
"280","Maine","2014",0,61,0
"281","Maryland","2014",34,723,4.70262793914246
"282","Massachusetts","2014",9,788,1.14213197969543
"283","Michigan","2014",220,1050,20.952380952381
"284","Minnesota","2014",278,780,35.6410256410256
"285","Mississippi","2014",3,161,1.86335403726708
"286","Missouri","2014",101,381,26.509186351706
"287","Montana","2014",2,70,2.85714285714286
"288","Nebraska","2014",80,160,50
"289","Nevada","2014",21,330,6.36363636363636
"290","New Hampshire","2014",1,88,1.13636363636364
"291","New Jersey","2014",5,306,1.63398692810458
"292","New Mexico","2014",14,140,10
"293","New York","2014",83,1336,6.2125748502994
"294","North Carolina","2014",23,967,2.37849017580145
"295","North Dakota","2014",77,104,74.0384615384615
"296","Ohio","2014",128,501,25.5489021956088
"297","Oklahoma","2014",25,321,7.78816199376947
"298","Oregon","2014",7,1071,0.65359477124183
"299","Pennsylvania","2014",33,542,6.08856088560886
"300","Rhode Island","2014",0,166,0
"301","South Carolina","2014",71,416,17.0673076923077
"302","South Dakota","2014",82,134,61.1940298507463
"303","Tennessee","2014",66,1138,5.79964850615114
"304","Texas","2014",136,2541,5.35222353404172
"305","Utah","2014",3,270,1.11111111111111
"306","Vermont","2014",1,129,0.775193798449612
"307","Virginia","2014",17,719,2.3643949930459
"308","Washington","2014",21,1632,1.28676470588235
"309","West Virginia","2014",9,127,7.08661417322835
"310","Wisconsin","2014",136,561,24.2424242424242
"311","Wyoming","2014",10,69,14.4927536231884
"312","Total","2014",2840,33805,8.40112409406892
"313","Alabama","2015",31,375,8.26666666666667
"314","Alaska","2015",0,11,0
"315","Arizona","2015",30,1059,2.8328611898017
"316","Arkansas","2015",47,182,25.8241758241758
"317","California","2015",107,11242,0.951787938089308
"318","Colorado","2015",89,921,9.66340933767644
"319","Connecticut","2015",4,542,0.738007380073801
"320","Delaware","2015",1,67,1.49253731343284
"321","District of Columbia","2015",3,246,1.21951219512195
"322","Florida","2015",74,2006,3.6889332003988
"323","Georgia","2015",58,1372,4.22740524781341
"324","Hawaii","2015",3,511,0.587084148727984
"325","Idaho","2015",7,131,5.34351145038168
"326","Illinois","2015",247,1357,18.201915991157
"327","Indiana","2015",194,720,26.9444444444444
"328","Iowa","2015",214,423,50.5910165484634
"329","Kansas","2015",26,640,4.0625
"330","Kentucky","2015",68,224,30.3571428571429
"331","Louisiana","2015",9,162,5.55555555555556
"332","Maine","2015",0,108,0
"333","Maryland","2015",34,940,3.61702127659574
"334","Massachusetts","2015",6,1036,0.579150579150579
"335","Michigan","2015",241,1178,20.4584040747029
"336","Minnesota","2015",289,874,33.0663615560641
"337","Mississippi","2015",3,166,1.80722891566265
"338","Missouri","2015",99,720,13.75
"339","Montana","2015",2,113,1.76991150442478
"340","Nebraska","2015",82,180,45.5555555555556
"341","Nevada","2015",20,376,5.31914893617021
"342","New Hampshire","2015",0,156,0
"343","New Jersey","2015",5,465,1.0752688172043
"344","New Mexico","2015",10,187,5.3475935828877
"345","New York","2015",85,1570,5.4140127388535
"346","North Carolina","2015",26,1113,2.33602875112309
"347","North Dakota","2015",53,86,61.6279069767442
"348","Ohio","2015",136,674,20.1780415430267
"349","Oklahoma","2015",31,362,8.56353591160221
"350","Oregon","2015",8,1205,0.663900414937759
"351","Pennsylvania","2015",37,699,5.29327610872675
"352","Rhode Island","2015",0,197,0
"353","South Carolina","2015",68,493,13.7931034482759
"354","South Dakota","2015",80,129,62.015503875969
"355","Tennessee","2015",69,1086,6.353591160221
"356","Texas","2015",197,2864,6.87849162011173
"357","Utah","2015",3,417,0.719424460431655
"358","Vermont","2015",1,285,0.350877192982456
"359","Virginia","2015",18,892,2.01793721973094
"360","Washington","2015",21,1756,1.19589977220957
"361","West Virginia","2015",9,98,9.18367346938776
"362","Wisconsin","2015",156,670,23.2835820895522
"363","Wyoming","2015",11,98,11.2244897959184
"364","Total","2015",3012,43384,6.942651668818
"365","Alabama","2016",32,390,8.2051282051282
"366","Alaska","2016",0,13,0
"367","Arizona","2016",25,1254,1.99362041467305
"368","Arkansas","2016",44,203,21.6748768472906
"369","California","2016",119,14969,0.79497628432093
"370","Colorado","2016",88,1201,7.32722731057452
